Address:,TCPIP0::192.168.254.118::hislip0::INSTR,,Analog Channels,,
Model:,DSOS604A,,Time (s),3 (VOLT),
,,,-4.79208090563E-07,-0.00122623506968011,
,,,-4.79158090563E-07,-0.00105758432391667,
,,,-4.79108090563E-07,-0.000989069958450273,
,,,-4.79058090563E-07,-0.0010048809658656,
,,,-4.79008090563E-07,-0.000910014921373659,
,,,-4.78958090563E-07,-0.000857311563322583,
,,,-4.78908090563E-07,-0.000894203913958336,
,,,-4.78858090563E-07,-0.000725553168194892,
,,,-4.78808090563E-07,-0.000678120145948924,
,,,-4.78758090563E-07,-0.000967988615229842,
,,,-4.78708090563E-07,-0.00107339533133199,
,,,-4.78658090563E-07,-0.000715012496584677,
,,,-4.78608090563E-07,-0.000367170333447575,
,,,-4.78558090563E-07,-0.000393522012473113,
,,,-4.78508090563E-07,-0.00075190484722043,
,,,-4.78458090563E-07,-0.00097325895103495,
,,,-4.78408090563E-07,-0.000562172758236557,
,,,-4.78358090563E-07,-0.000103653543192195,
,,,-4.78308090563E-07,-0.000388251676668006,
,,,-4.78258090563E-07,-0.000957447943619627,
,,,-4.78208090563E-07,-0.000962718279424735,
,,,-4.78158090563E-07,-0.000794067533661291,
,,,-4.78108090563E-07,-0.000888933578153228,
,,,-4.78058090563E-07,-0.000915285257178766,
,,,-4.78008090563E-07,-0.000704471824974462,
,,,-4.77958090563E-07,-0.000667579474338709,
,,,-4.77908090563E-07,-0.000852041227517475,
,,,-4.77858090563E-07,-0.000809878541076614,
,,,-4.77808090563E-07,-0.000583254101456987,
,,,-4.77758090563E-07,-0.000504199064380373,
,,,-4.77708090563E-07,-0.000404062684083328,
,,,-4.77658090563E-07,-0.00022487126670967,
,,,-4.77608090563E-07,-0.00046730671374462,
,,,-4.77558090563E-07,-0.000899474249763443,
,,,-4.77508090563E-07,-0.000799337869466399,
,,,-4.77458090563E-07,-0.00059906510887231,
,,,-4.77408090563E-07,-0.00075190484722043,
,,,-4.77358090563E-07,-0.000762445518830646,
,,,-4.77308090563E-07,-0.000583254101456987,
,,,-4.77258090563E-07,-0.000720282832389785,
,,,-4.77208090563E-07,-0.000815148876881722,
,,,-4.77158090563E-07,-0.000651768466923386,
,,,-4.77108090563E-07,-0.000799337869466399,
,,,-4.77058090563E-07,-0.00108393600294221,
,,,-4.77008090563E-07,-0.00102596230908603,
,,,-4.76958090563E-07,-0.000957447943619627,
,,,-4.76908090563E-07,-0.000978529286840057,
,,,-4.76858090563E-07,-0.000799337869466399,
,,,-4.76808090563E-07,-0.000583254101456987,
,,,-4.76758090563E-07,-0.000556902422431449,
,,,-4.76708090563E-07,-0.000588524437262095,
,,,-4.76658090563E-07,-0.000593794773067202,
,,,-4.76608090563E-07,-0.000372440669252683,
,,,-4.76558090563E-07,0.000101889553207002,
,,,-4.76508090563E-07,0.000317973321216414,
,,,-4.76458090563E-07,0.000144052239647863,
,,,-4.76408090563E-07,-2.98688419206883E-05,
,,,-4.76358090563E-07,-0.00013527555802284,
,,,-4.76308090563E-07,-0.000335548318616929,
,,,-4.76258090563E-07,-0.000340818654422037,
,,,-4.76208090563E-07,-0.000187978916073916,
,,,-4.76158090563E-07,-0.000161627237048378,
,,,-4.76108090563E-07,-0.000203789923489239,
,,,-4.76058090563E-07,-0.000319737311201607,
,,,-4.76008090563E-07,-0.00059906510887231,
,,,-4.75958090563E-07,-0.000651768466923386,
,,,-4.75908090563E-07,-0.000388251676668006,
,,,-4.75858090563E-07,-0.000398792348278221,
,,,-4.75808090563E-07,-0.000662309138533601,
,,,-4.75758090563E-07,-0.000699201489169354,
,,,-4.75708090563E-07,-0.000662309138533601,
,,,-4.75658090563E-07,-0.000725553168194892,
,,,-4.75608090563E-07,-0.000635957459508063,
,,,-4.75558090563E-07,-0.000446225370524189,
,,,-4.75508090563E-07,-0.000409333019888436,
,,,-4.75458090563E-07,-0.000456766042134404,
,,,-4.75408090563E-07,-0.000588524437262095,
,,,-4.75358090563E-07,-0.000588524437262095,
,,,-4.75308090563E-07,-0.000203789923489239,
,,,-4.75258090563E-07,-2.45985061155807E-05,
,,,-4.75208090563E-07,-0.000551632086626341,
,,,-4.75158090563E-07,-0.000883663242348121,
,,,-4.75108090563E-07,-0.000657038802728493,
,,,-4.75058090563E-07,-0.000688660817559139,
,,,-4.75008090563E-07,-0.000867852234932798,
,,,-4.74958090563E-07,-0.000440955034719082,
,,,-4.74908090563E-07,3.86455235457106E-05,
,,,-4.74858090563E-07,-0.000151086565438163,
,,,-4.74808090563E-07,-5.62205209462263E-05,
,,,-4.74758090563E-07,0.0014194735044839,
,,,-4.74708090563E-07,0.00399666771318152,
,,,-4.74658090563E-07,0.00726427591234824,
,,,-4.74608090563E-07,0.0114858148922394,
,,,-4.74558090563E-07,0.0162343874526414,
,,,-4.74508090563E-07,0.0199657852026576,
,,,-4.74458090563E-07,0.0215890486306307,
,,,-4.74408090563E-07,0.021357153855206,
,,,-4.74358090563E-07,0.0197707827778686,
,,,-4.74308090563E-07,0.0166665549886602,
,,,-4.74258090563E-07,0.0122342025765647,
,,,-4.74208090563E-07,0.00771225445578239,
,,,-4.74158090563E-07,0.00393869401932534,
,,,-4.74108090563E-07,0.000549868096641148,
,,,-4.74058090563E-07,-0.00222232853684545,
,,,-4.74008090563E-07,-0.00355045315973257,
,,,-4.73958090563E-07,-0.00375072592032666,
,,,-4.73908090563E-07,-0.00348720913007128,
,,,-4.73858090563E-07,-0.00252800801354169,
,,,-4.73808090563E-07,-0.00131583077836694,
,,,-4.73758090563E-07,-0.000846770891712367,
,,,-4.73708090563E-07,-0.000846770891712367,
,,,-4.73658090563E-07,-0.000715012496584677,
,,,-4.73608090563E-07,-0.000967988615229842,
,,,-4.73558090563E-07,-0.00155826622540189,
,,,-4.73508090563E-07,-0.0014897518599355,
,,,-4.73458090563E-07,-0.000962718279424735,
,,,-4.73408090563E-07,-0.000730823504,
,,,-4.73358090563E-07,-0.00048838805696505,
,,,-4.73308090563E-07,-0.000166897572853486,
,,,-4.73258090563E-07,-0.000251222945735208,
,,,-4.73208090563E-07,-0.000520010071795696,
,,,-4.73158090563E-07,-0.00059906510887231,
,,,-4.73108090563E-07,-0.000873122570737905,
,,,-4.73058090563E-07,-0.00123677574129033,
,,,-4.73008090563E-07,-0.00116299104001882,
,,,-4.72958090563E-07,-0.000772986190440861,
,,,-4.72908090563E-07,-0.000483117721159942,
,,,-4.72858090563E-07,-0.000388251676668006,
